"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"18","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::CUDAFunctorOnSelf_add<double>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","3.81"
"19","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, void at::<unnamed>::pow_tensor_scalar_kernel_impl<double, double>(at::TensorIteratorBase &, T2)::[lambda(double) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","13.18"
"19","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, void at::<unnamed>::pow_tensor_scalar_kernel_impl<double, double>(at::TensorIteratorBase &, T2)::[lambda(double) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","3.62"
"20","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::AUnaryFunctor<double, double, double, binary_internal::MulFunctor<double>>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","13.70"
"20","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::AUnaryFunctor<double, double, double, binary_internal::MulFunctor<double>>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","3.42"
"21","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::exp_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 1)]::operator ()() const::[lambda(double) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","23.81"
"21","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::exp_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 1)]::operator ()() const::[lambda(double) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","10.50"
"22","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::AUnaryFunctor<double, double, double, binary_internal::MulFunctor<double>>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","13.70"
"22","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::AUnaryFunctor<double, double, double, binary_internal::MulFunctor<double>>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","3.39"
"23","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::CUDAFunctorOnSelf_add<double>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","13.57"
"23","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::CUDAFunctorOnSelf_add<double>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","3.36"
"24","99252","python3.12","127.0.0.1","void at::unrolled_elementwise_kernel<at::AUnaryFunctor<c10::complex<double>, c10::complex<double>, c10::complex<double>, binary_internal::MulFunctor<c10::complex<double>>>, std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","1","7","(128, 1, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","45.82"
"24","99252","python3.12","127.0.0.1","void at::unrolled_elementwise_kernel<at::AUnaryFunctor<c10::complex<double>, c10::complex<double>, c10::complex<double>, binary_internal::MulFunctor<c10::complex<double>>>, std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","1","7","(128, 1, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","5.66"
"25","99252","python3.12","127.0.0.1","exp_kernel_kernel","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","89.73"
"25","99252","python3.12","127.0.0.1","exp_kernel_kernel","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","29.60"
"26","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::AUnaryFunctor<double, double, double, binary_internal::MulFunctor<double>>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","13.31"
"26","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::AUnaryFunctor<double, double, double, binary_internal::MulFunctor<double>>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","3.39"
"27","99252","python3.12","127.0.0.1","void at::unrolled_elementwise_kernel<at::BinaryFunctor<c10::complex<double>, c10::complex<double>, c10::complex<double>, binary_internal::MulFunctor<c10::complex<double>>>, std::array<char *, 3>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<2>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","1","7","(128, 1, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","77.18"
"27","99252","python3.12","127.0.0.1","void at::unrolled_elementwise_kernel<at::BinaryFunctor<c10::complex<double>, c10::complex<double>, c10::complex<double>, binary_internal::MulFunctor<c10::complex<double>>>, std::array<char *, 3>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<2>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","1","7","(128, 1, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","6.56"
"28","99252","python3.12","127.0.0.1","kernelPhaseX(double2 *, unsigned long, int, const int *, const double *, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Mbyte","33.67"
"28","99252","python3.12","127.0.0.1","kernelPhaseX(double2 *, unsigned long, int, const int *, const double *, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ms","1.40"
"29","99252","python3.12","127.0.0.1","kernelPhaseX(double2 *, unsigned long, int, const int *, const double *, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Mbyte","33.58"
"29","99252","python3.12","127.0.0.1","kernelPhaseX(double2 *, unsigned long, int, const int *, const double *, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ms","1.33"
"30","99252","python3.12","127.0.0.1","void regular_fft<1024, EPT<8>, 8, 1, 6, 0, 2, 1, unsigned int, double, HostConfigPlaceholder>(kernel_arguments_t<T9>)","1","7","(8, 128, 1)","(128, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Mbyte","16.84"
"30","99252","python3.12","127.0.0.1","void regular_fft<1024, EPT<8>, 8, 1, 6, 0, 2, 1, unsigned int, double, HostConfigPlaceholder>(kernel_arguments_t<T9>)","1","7","(8, 128, 1)","(128, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","657.95"
"31","99252","python3.12","127.0.0.1","void regular_fft<1024, EPT<8>, 8, 1, 6, 0, 2, 1, unsigned int, double, HostConfigPlaceholder>(kernel_arguments_t<T9>)","1","7","(8, 128, 1)","(128, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Mbyte","17.37"
"31","99252","python3.12","127.0.0.1","void regular_fft<1024, EPT<8>, 8, 1, 6, 0, 2, 1, unsigned int, double, HostConfigPlaceholder>(kernel_arguments_t<T9>)","1","7","(8, 128, 1)","(128, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","655.36"
"32","99252","python3.12","127.0.0.1","kernelPhaseX(double2 *, unsigned long, int, const int *, const double *, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Mbyte","33.57"
"32","99252","python3.12","127.0.0.1","kernelPhaseX(double2 *, unsigned long, int, const int *, const double *, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ms","1.38"
"33","99252","python3.12","127.0.0.1","kernelGlobalScalar(double2 *, unsigned long, int, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Mbyte","33.58"
"33","99252","python3.12","127.0.0.1","kernelGlobalScalar(double2 *, unsigned long, int, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","182.50"
"34","99252","python3.12","127.0.0.1","kernelGlobalPhase(double2 *, unsigned long, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Mbyte","33.58"
"34","99252","python3.12","127.0.0.1","kernelGlobalPhase(double2 *, unsigned long, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ms","1.02"
"35","99252","python3.12","127.0.0.1","kernelPhaseX(double2 *, unsigned long, int, const int *, const double *, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Mbyte","33.58"
"35","99252","python3.12","127.0.0.1","kernelPhaseX(double2 *, unsigned long, int, const int *, const double *, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ms","1.37"
"36","99252","python3.12","127.0.0.1","kernelPhaseX(double2 *, unsigned long, int, const int *, const double *, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Mbyte","33.72"
"36","99252","python3.12","127.0.0.1","kernelPhaseX(double2 *, unsigned long, int, const int *, const double *, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ms","1.22"
"37","99252","python3.12","127.0.0.1","void regular_fft<1024, EPT<8>, 8, 1, 6, 0, 2, 1, unsigned int, double, HostConfigPlaceholder>(kernel_arguments_t<T9>)","1","7","(8, 128, 1)","(128, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Mbyte","16.82"
"37","99252","python3.12","127.0.0.1","void regular_fft<1024, EPT<8>, 8, 1, 6, 0, 2, 1, unsigned int, double, HostConfigPlaceholder>(kernel_arguments_t<T9>)","1","7","(8, 128, 1)","(128, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","652.83"
"38","99252","python3.12","127.0.0.1","void regular_fft<1024, EPT<8>, 8, 1, 6, 0, 2, 1, unsigned int, double, HostConfigPlaceholder>(kernel_arguments_t<T9>)","1","7","(8, 128, 1)","(128, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Mbyte","16.82"
"38","99252","python3.12","127.0.0.1","void regular_fft<1024, EPT<8>, 8, 1, 6, 0, 2, 1, unsigned int, double, HostConfigPlaceholder>(kernel_arguments_t<T9>)","1","7","(8, 128, 1)","(128, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","654.75"
"39","99252","python3.12","127.0.0.1","kernelPhaseX(double2 *, unsigned long, int, const int *, const double *, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Mbyte","33.74"
"39","99252","python3.12","127.0.0.1","kernelPhaseX(double2 *, unsigned long, int, const int *, const double *, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ms","1.35"
"40","99252","python3.12","127.0.0.1","kernelGlobalScalar(double2 *, unsigned long, int, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Mbyte","33.58"
"40","99252","python3.12","127.0.0.1","kernelGlobalScalar(double2 *, unsigned long, int, const int *, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","190.24"
"41","99252","python3.12","127.0.0.1","kernelGlobalPhase(double2 *, unsigned long, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Mbyte","33.58"
"41","99252","python3.12","127.0.0.1","kernelGlobalPhase(double2 *, unsigned long, double)","1","7","(256, 1, 1)","(8192, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ms","1.02"
